"0.0, 0.0, 0.134, 0.019, 0.641, 0.621, 0.065, 0.238, 0.4, 0.447, 0.062, 0.899, 0.628, 0.463, 0.839, 0.573, 0.506, 0.237, 1.0, 1.0, 2.48402484082"
"0.0, 0.0, 0.396, 0.259, 0.013, 0.507, 0.522, 0.827, 0.203, 0.831, 0.551, 0.431, 0.766, 0.746, 0.753, 0.518, 0.707, 0.742, 1.0, 1.0, 2.67085803527"
"0.0, 0.0, 0.672, 0.747, 0.177, 0.92, 0.617, 0.13, 0.749, 0.013, 0.4, 0.331, 0.158, 0.762, 0.114, 0.755, 0.787, 0.156, 1.0, 1.0, 4.26980798414"
"0.0, 0.0, 0.928, 0.922, 0.866, 0.215, 0.442, 0.823, 0.98, 0.296, 0.806, 0.799, 0.079, 0.623, 0.462, 0.644, 0.683, 0.533, 1.0, 1.0, 1.59371804074"
"0.0, 0.0, 0.201, 0.875, 0.78, 0.101, 0.406, 0.575, 0.609, 0.275, 0.5, 0.01, 0.117, 0.201, 0.678, 0.43, 0.727, 0.785, 1.0, 1.0, 3.13848143647"
"0.0, 0.0, 0.634, 0.619, 0.808, 0.82, 0.641, 0.502, 0.31, 0.839, 0.756, 0.87, 0.124, 0.808, 0.061, 0.136, 0.541, 0.745, 1.0, 1.0, 2.31258595810"
"0.0, 0.0, 0.637, 0.614, 0.57, 0.228, 0.965, 0.695, 0.74, 0.362, 0.323, 0.601, 0.705, 0.441, 0.715, 0.789, 0.608, 0.385, 1.0, 1.0, 5.66875094725"
"0.0, 0.0, 0.082, 0.283, 0.979, 0.832, 0.825, 0.853, 0.882, 0.689, 0.575, 0.93, 0.334, 0.526, 0.461, 0.791, 0.224, 0.374, 1.0, 1.0, 1.18803104713"
"0.0, 0.0, 0.459, 0.361, 0.553, 0.073, 0.85, 0.508, 0.81, 0.928, 0.869, 0.456, 0.507, 0.049, 0.787, 0.858, 0.134, 0.957, 1.0, 1.0, 1.63522971733"
"0.0, 0.0, 0.271, 0.728, 0.735, 0.767, 0.146, 0.698, 0.91, 0.774, 0.722, 0.87, 0.643, 0.044, 0.37, 0.224, 0.89, 0.521, 1.0, 1.0, 1.93097620771"
"0.0, 0.0, 0.387, 0.341, 0.972, 0.363, 0.245, 0.544, 0.525, 0.563, 0.463, 0.06, 0.952, 0.379, 0.355, 0.842, 0.892, 0.706, 1.0, 1.0, 1.56608008371"
"0.0, 0.0, 0.806, 0.367, 0.264, 0.723, 0.065, 0.447, 0.237, 0.75, 0.441, 0.769, 0.341, 0.969, 0.855, 0.775, 0.568, 0.655, 1.0, 1.0, 1.76867133762"
"0.0, 0.0, 0.555, 0.975, 0.652, 0.455, 0.876, 0.761, 0.721, 0.716, 0.212, 0.182, 0.313, 0.096, 0.735, 0.54, 0.428, 0.869, 1.0, 1.0, 1.83644368170"
"0.0, 0.0, 0.968, 0.926, 0.227, 0.013, 0.949, 0.177, 0.465, 0.93, 0.114, 0.231, 0.911, 0.466, 0.213, 0.546, 0.697, 0.677, 1.0, 1.0, 1.03518028473"
"0.0, 0.0, 0.482, 0.307, 0.814, 0.369, 0.2, 0.446, 0.819, 0.055, 0.635, 0.537, 0.521, 0.873, 0.143, 0.15, 0.024, 0.89, 1.0, 1.0, 4.03745328039"
"0.0, 0.0, 0.35, 0.461, 0.01, 0.918, 0.558, 0.564, 0.695, 0.388, 0.519, 0.712, 0.351, 0.654, 0.839, 0.265, 0.513, 0.655, 1.0, 1.0, 8.3128523485"
"0.0, 0.0, 0.474, 0.626, 0.603, 0.438, 0.716, 0.068, 0.679, 0.531, 0.116, 0.182, 0.367, 0.422, 0.646, 0.582, 0.796, 0.953, 1.0, 1.0, 2.63057759811"
"0.0, 0.0, 0.216, 0.031, 0.126, 0.741, 0.545, 0.769, 0.129, 0.907, 0.601, 0.435, 0.84, 0.477, 0.105, 0.175, 0.205, 0.379, 1.0, 1.0, 1.85645994618"
"0.0, 0.0, 0.034, 0.855, 0.409, 0.506, 0.536, 0.576, 0.183, 0.291, 0.772, 0.469, 0.812, 0.385, 0.206, 0.283, 0.732, 0.927, 1.0, 1.0, 2.23970270366"
"0.0, 0.0, 0.905, 0.387, 0.447, 0.818, 0.148, 0.761, 0.12, 0.694, 0.506, 0.686, 0.826, 0.291, 0.218, 0.211, 0.436, 0.931, 1.0, 1.0, 2.37158252699"
"0.0, 0.0, 0.966, 0.977, 0.398, 0.78, 0.182, 0.299, 0.426, 0.63, 0.837, 0.825, 0.959, 0.086, 0.947, 0.734, 0.71, 0.328, 1.0, 1.0, 2.36797449272"
"0.0, 0.0, 0.693, 0.902, 0.562, 0.707, 0.717, 0.377, 0.241, 0.262, 0.744, 0.704, 0.01, 0.84, 0.739, 0.882, 0.082, 0.57, 1.0, 1.0, 1.52482341641"
